青白 (あおじろ)
研究 (けんきゅう)
犬歯 (けんし)
県人 (けんじん)
県道 (けんどう)
県内 (けんない)
見物 (けんぶつ)
県立 (けんりつ)
下界 (げかい)
外界 (げかい)
下宿 (げしゅく)
月次 (げつじ)
下品 (げひん)
下落 (げらく)
元号 (げんごう)
原始 (げんし)
原酒 (げんしゅ)
原題 (げんだい)
原動 (げんどう)
言動 (げんどう)
原発 (げんぱつ)
原油 (げんゆ)
公安 (こうあん)
校医 (こうい)
工員 (こういん)
行員 (こういん)
幸運 (こううん)
公役 (こうえき)
高温 (こうおん)
公開 (こうかい)
交感 (こうかん)
向学 (こうがく)
後期 (こうき)
工期 (こうき)
後宮 (こうきゅう)
高級 (こうきゅう)
工業 (こうぎょう)
校区 (こうく)
工具 (こうぐ)
公庫 (こうこ)
公使 (こうし)
行使 (こうし)
公式 (こうしき)
後者 (こうしゃ)
向暑 (こうしょ)
高所 (こうしょ)
校章 (こうしょう)
後進 (こうしん)
行進 (こうしん)
高進 (こうしん)
工事 (こうじ)
高次 (こうじ)
小路 (こうじ)
口実 (こうじつ)
向上 (こうじょう)
後世 (こうせい)
後送 (こうそう)
光速 (こうそく)
高速 (こうそく)
交代 (こうたい)
公定 (こうてい)
校庭 (こうてい)
公転 (こうてん)
高等 (こうとう)
高度 (こうど)
行動 (こうどう)
港内 (こうない)
光波 (こうは)
高配 (こうはい)
公表 (こうひょう)
幸福 (こうふく)
後部 (こうぶ)
公平 (こうへい)
交遊 (こうゆう)
公有 (こうゆう)
交流 (こうりゅう)
後列 (こうれつ)
国庫 (こくこ)
国事 (こくじ)
国定 (こくてい)
黒板 (こくばん)
国有 (こくゆう)
心根 (こころね)
古式 (こしき)
戸主 (こしゅ)
小島 (こじま)
湖水 (こすい)
古代 (こだい)
国庫 (こっこ)
古都 (こと)
言葉 (ことば)
小鼻 (こばな)
小路 (こみち)
子持 (こもち)
小物 (こもの)
子守 (こもり)
小屋 (こや)
小指 (こゆび)
今期 (こんき)
根気 (こんき)
根号 (こんごう)
今昔 (こんじゃく)
今度 (こんど)
根本 (こんぽん)
根毛 (こんもう)
語意 (ごい)
合意 (ごうい)
号外 (ごうがい)
号数 (ごうすう)
合板 (ごうはん)
合筆 (ごうひつ)
合流 (ごうりゅう)
語感 (ごかん)
五重 (ごじゅう)
語調 (ごちょう)
祭日 (さいじつ)
細部 (さいぶ)
祭礼 (さいれい)
酒場 (さかば)
坂道 (さかみち)
酒屋 (さかや)
先様 (さきさま)
先物 (さきもの)
作業 (さぎょう)
作意 (さくい)
作者 (さくしゃ)
作事 (さくじ)
作表 (さくひょう)
作品 (さくひん)
作物 (さくもつ)
指図 (さしず)
流石 (さすが)
流石 (さすが)
早急 (さっきゅう)
作曲 (さっきょく)
早速 (さっそく)
作動 (さどう)
寒気 (さむけ)
申年 (さるどし)
三界 (さんがい)
算定 (さんてい)
三流 (さんりゅう)
仕上 (しあが)
詩歌 (しいか)
仕打 (しうち)
使役 (しえき)
歯科 (しか)
死角 (しかく)
仕方 (しかた)
歯学 (しがく)
仕切 (しき)
始期 (しき)
死期 (しき)
式場 (しきじょう)
色相 (しきそう)
色調 (しきちょう)
式部 (しきぶ)
子宮 (しきゅう)
死去 (しきょ)
始業 (しぎょう)
仕組 (しく)
市区 (しく)
仕草 (しぐさ)
止血 (しけつ)
指向 (しこう)
歯根 (しこん)
死後 (しご)
死語 (しご)
仕事 (しごと)
使者 (ししゃ)
死者 (ししゃ)
死守 (ししゅ)
詩集 (ししゅう)
四重 (しじゅう)
始終 (しじゅう)
詩人 (しじん)
指数 (しすう)
歯石 (しせき)
死線 (しせん)
思想 (しそう)
子息 (しそく)
死体 (したい)
下着 (したぎ)
次第 (しだい)
室温 (しつおん)
指定 (してい)
始点 (してん)
始動 (しどう)
品数 (しなかず)
品物 (しなもの)
指南 (しなん)
死人 (しにん)
始発 (しはつ)
死人 (しびと)
市部 (しぶ)
詩文 (しぶん)
島国 (しまぐに)
仕向 (しむけ)
使命 (しめい)
指名 (しめい)
指命 (しめい)
紙面 (しめん)
下期 (しもき)
社員 (しゃいん)
社運 (しゃうん)
社屋 (しゃおく)
社業 (しゃぎょう)
車庫 (しゃこ)
写植 (しゃしょく)
写真 (しゃしん)
写実 (しゃじつ)
写生 (しゃせい)
車速 (しゃそく)
三味 (しゃみ)
車両 (しゃりょう)
主意 (しゅい)
集荷 (しゅうか)
集会 (しゅうかい)
終期 (しゅうき)
終局 (しゅうきょく)
終曲 (しゅうきょく)
集金 (しゅうきん)
終業 (しゅうぎょう)
集計 (しゅうけい)
集合 (しゅうごう)
習作 (しゅうさく)
終始 (しゅうし)
終止 (しゅうし)
終身 (しゅうしん)
習字 (しゅうじ)
終日 (しゅうじつ)
終生 (しゅうせい)
終息 (しゅうそく)
習知 (しゅうち)
終着 (しゅうちゃく)
集中 (しゅうちゅう)
終点 (しゅうてん)
終電 (しゅうでん)
秋波 (しゅうは)
集配 (しゅうはい)
終夜 (しゅうや)
集落 (しゅうらく)
宿題 (しゅくだい)
宿直 (しゅくちょく)
宿場 (しゅくば)
宿命 (しゅくめい)
主君 (しゅくん)
主計 (しゅけい)
主語 (しゅご)
首相 (しゅしょう)
主食 (しゅしょく)
主事 (しゅじ)
主人 (しゅじん)
取水 (しゅすい)
主体 (しゅたい)
主題 (しゅだい)
出荷 (しゅっか)
出血 (しゅっけつ)
出庫 (しゅっこ)
出向 (しゅっこう)
出所 (しゅっしょ)
出身 (しゅっしん)
出世 (しゅっせ)
出発 (しゅっぱつ)
出品 (しゅっぴん)
出題 (しゅつだい)
出動 (しゅつどう)
首都 (しゅと)
手動 (しゅどう)
主筆 (しゅひつ)
主文 (しゅぶん)
主役 (しゅやく)
主流 (しゅりゅう)
主力 (しゅりょく)
所員 (しょいん)
書院 (しょいん)
消音 (しょうおん)
消化 (しょうか)
消火 (しょうか)
商会 (しょうかい)
小寒 (しょうかん)
消去 (しょうきょ)
商業 (しょうぎょう)
商工 (しょうこう)
消光 (しょうこう)
商号 (しょうごう)
商才 (しょうさい)
勝算 (しょうさん)
勝者 (しょうしゃ)
商社 (しょうしゃ)
小暑 (しょうしょ)
正真 (しょうしん)
商事 (しょうじ)
商船 (しょうせん)
消息 (しょうそく)
商談 (しょうだん)
消長 (しょうちょう)
商店 (しょうてん)
商人 (しょうにん)
商売 (しょうばい)
商品 (しょうひん)
勝負 (しょうぶ)
正味 (しょうみ)
正面 (しょうめん)
生薬 (しょうやく)
商用 (しょうよう)
所感 (しょかん)
所外 (しょがい)
所期 (しょき)
所業 (しょぎょう)
食指 (しょくし)
植字 (しょくじ)
食事 (しょくじ)
植生 (しょくせい)
食品 (しょくひん)
植物 (しょくぶつ)
植毛 (しょくもう)
食物 (しょくもつ)
植林 (しょくりん)
所見 (しょけん)
書庫 (しょこ)
所作 (しょさ)
書式 (しょしき)
書写 (しょしゃ)
所持 (しょじ)
暑中 (しょちゅう)
所長 (しょちょう)
所定 (しょてい)
所内 (しょない)
書面 (しょめん)
書物 (しょもつ)
所有 (しょゆう)
所用 (しょよう)
仕様 (しよう)
使用 (しよう)
死力 (しりょく)
白身 (しろみ)
代物 (しろもの)
仕業 (しわざ)
深意 (しんい)
真意 (しんい)
深遠 (しんえん)
深化 (しんか)
進化 (しんか)
深海 (しんかい)
新館 (しんかん)
神学 (しんがく)
進学 (しんがく)
進級 (しんきゅう)
新曲 (しんきょく)
真空 (しんくう)
新宮 (しんぐう)
心血 (しんけつ)
進行 (しんこう)
新式 (しんしき)
新酒 (しんしゅ)
進取 (しんしゅ)
進出 (しんしゅつ)
心身 (しんしん)
新進 (しんしん)
真実 (しんじつ)
身上 (しんじょう)
進上 (しんじょう)
進水 (しんすい)
真正 (しんせい)
神前 (しんぜん)
真相 (しんそう)
親族 (しんぞく)
神体 (しんたい)
身体 (しんたい)
新調 (しんちょう)
深長 (しんちょう)
身長 (しんちょう)
親等 (しんとう)
進度 (しんど)
神童 (しんどう)
進入 (しんにゅう)
新橋 (しんばし)
心配 (しんぱい)
新品 (しんぴん)
深部 (しんぶ)
神父 (しんぷ)
神木 (しんぼく)
進歩 (しんぽ)
親身 (しんみ)
身命 (しんめい)
進物 (しんもつ)
深夜 (しんや)
真理 (しんり)
新緑 (しんりょく)
進路 (しんろ)
神話 (しんわ)
親和 (しんわ)
寺院 (じいん)
次回 (じかい)
時期 (じき)
次期 (じき)
直筆 (じきひつ)
時局 (じきょく)
事業 (じぎょう)
次兄 (じけい)
自決 (じけつ)
次元 (じげん)
事後 (じご)
次号 (じごう)
地酒 (じざけ)
次子 (じし)
自主 (じしゅ)
自習 (じしゅう)
地所 (じしょ)
次章 (じしょう)
自身 (じしん)
時事 (じじ)
事実 (じじつ)
自重 (じじゅう)
次女 (じじょ)
自乗 (じじょう)
次数 (じすう)
時世 (じせい)
事前 (じぜん)
時速 (じそく)
自他 (じた)
時短 (じたん)
時代 (じだい)
次代 (じだい)
地代 (じだい)
次長 (じちょう)
自重 (じちょう)
実家 (じっか)
実感 (じっかん)
実兄 (じっけい)
実行 (じっこう)
実根 (じっこん)
実作 (じっさく)
実子 (じっし)
実写 (じっしゃ)
実習 (じっしゅう)
実数 (じっすう)
実線 (じっせん)
実体 (じったい)
実地 (じっち)
実直 (じっちょく)
実父 (じっぷ)
実業 (じつぎょう)
実物 (じつぶつ)
実母 (じつぼ)
実名 (じつめい)
実用 (じつよう)
実力 (じつりょく)
実話 (じつわ)
字面 (じづら)
次点 (じてん)
自転 (じてん)
自動 (じどう)
次男 (じなん)
地主 (じぬし)
自発 (じはつ)
自筆 (じひつ)
持病 (じびょう)
自負 (じふ)
事物 (じぶつ)
地味 (じみ)
地面 (じめん)
自問 (じもん)
弱者 (じゃくしゃ)
重工 (じゅうこう)
住所 (じゅうしょ)
重心 (じゅうしん)
重水 (じゅうすい)
十全 (じゅうぜん)
重体 (じゅうたい)
重大 (じゅうだい)
重点 (じゅうてん)
住人 (じゅうにん)
重箱 (じゅうばこ)
重病 (じゅうびょう)
重役 (じゅうやく)
重油 (じゅうゆ)
重力 (じゅうりょく)
受注 (じゅちゅう)
受動 (じゅどう)
受理 (じゅり)
事由 (じゆう)
自由 (じゆう)
女医 (じょい)
上院 (じょういん)
乗員 (じょういん)
上界 (じょうかい)
乗客 (じょうきゃく)
上級 (じょうきゅう)
乗算 (じょうさん)
乗算 (じょうざん)
乗車 (じょうしゃ)
上申 (じょうしん)
上乗 (じょうじょう)
定数 (じょうすう)
定石 (じょうせき)
乗船 (じょうせん)
上等 (じょうとう)
乗馬 (じょうば)
上品 (じょうひん)
上部 (じょうぶ)
定宿 (じょうやど)
乗用 (じょうよう)
上流 (じょうりゅう)
助言 (じょげん)
助手 (じょしゅ)
助走 (じょそう)
助長 (じょちょう)
助命 (じょめい)
助役 (じょやく)
女流 (じょりゅう)
助力 (じょりょく)
時流 (じりゅう)
自流 (じりゅう)
人員 (じんいん)
神宮 (じんぐう)
神宮 (じんぐう)
人身 (じんしん)
人事 (じんじ)
神社 (じんじゃ)
人定 (じんてい)
人物 (じんぶつ)
人命 (じんめい)
水泳 (すいえい)
水温 (すいおん)
水球 (すいきゅう)
水銀 (すいぎん)
水死 (すいし)
水深 (すいしん)
水平 (すいへい)
水面 (すいめん)
水流 (すいりゅう)
水路 (すいろ)
数式 (すうしき)
数列 (すうれつ)
炭火 (すみび)
図式 (ずしき)
図表 (ずひょう)
図面 (ずめん)
生育 (せいいく)
正員 (せいいん)
生起 (せいき)
整形 (せいけい)
整合 (せいごう)
生死 (せいし)
正式 (せいしき)
整数 (せいすう)
生息 (せいそく)
整地 (せいち)
整調 (せいちょう)
正調 (せいちょう)
正負 (せいふ)
声部 (せいぶ)
西部 (せいぶ)
生物 (せいぶつ)
生命 (せいめい)
整理 (せいり)
整流 (せいりゅう)
整列 (せいれつ)
世界 (せかい)
石化 (せきか)
石炭 (せきたん)
石庭 (せきてい)
赤面 (せきめん)
石油 (せきゆ)
世間 (せけん)
世事 (せじ)
世相 (せそう)
世代 (せだい)
切開 (せっかい)
切実 (せつじつ)
世話 (せわ)
船員 (せんいん)
船客 (せんきゃく)
先決 (せんけつ)
先取 (せんしゅ)
先勝 (せんしょう)
先進 (せんしん)
先代 (せんだい)
先着 (せんちゃく)
先発 (せんぱつ)
線表 (せんぴょう)
先負 (せんぶ)
先負 (せんぷ)
先負 (せんまけ)
線路 (せんろ)
全員 (ぜんいん)
全会 (ぜんかい)
全開 (ぜんかい)
全館 (ぜんかん)
全学 (ぜんがく)
前期 (ぜんき)
全局 (ぜんきょく)
全曲 (ぜんきょく)
全区 (ぜんく)
全形 (ぜんけい)
全血 (ぜんけつ)
全県 (ぜんけん)
全戸 (ぜんこ)
全校 (ぜんこう)
全国 (ぜんこく)
全市 (ぜんし)
全紙 (ぜんし)
前者 (ぜんしゃ)
全社 (ぜんしゃ)
全集 (ぜんしゅう)
全書 (ぜんしょ)
前章 (ぜんしょう)
全勝 (ぜんしょう)
全章 (ぜんしょう)
前身 (ぜんしん)
前進 (ぜんしん)
全身 (ぜんしん)
全日 (ぜんじつ)
全線 (ぜんせん)
全体 (ぜんたい)
前代 (ぜんだい)
全長 (ぜんちょう)
全通 (ぜんつう)
全店 (ぜんてん)
全島 (ぜんとう)
全土 (ぜんど)
全品 (ぜんぴん)
全部 (ぜんぶ)
全文 (ぜんぶん)
前面 (ぜんめん)
全面 (ぜんめん)
全力 (ぜんりょく)
前列 (ぜんれつ)
想起 (そうき)
早期 (そうき)
早急 (そうきゅう)
送金 (そうきん)
相思 (そうし)
走者 (そうしゃ)
送出 (そうしゅつ)
送受 (そうじゅ)
相乗 (そうじょう)
早世 (そうせい)
相対 (そうたい)
相談 (そうだん)
想定 (そうてい)
送電 (そうでん)
相当 (そうとう)
送配 (そうはい)
相反 (そうはん)
相場 (そうば)
送風 (そうふう)
速答 (そくとう)
速度 (そくど)
速力 (そくりょく)
速記 (そっき)
速急 (そっきゅう)
外面 (そとづら)
村落 (そんらく)
他意 (たい)
大安 (たいあん)
大意 (たいい)
体育 (たいいく)
体温 (たいおん)
対外 (たいがい)
対岸 (たいがん)
対局 (たいきょく)
大局 (たいきょく)
対決 (たいけつ)
大使 (たいし)
大暑 (たいしょ)
大勝 (たいしょう)
体重 (たいじゅう)
対人 (たいじん)
対談 (たいだん)
対地 (たいち)
体調 (たいちょう)
対等 (たいとう)
対内 (たいない)
対日 (たいにち)
大病 (たいびょう)
大部 (たいぶ)
大部 (たいぶ)
対物 (たいぶつ)
太平 (たいへい)
対米 (たいべい)
体面 (たいめん)
対面 (たいめん)
大役 (たいやく)
太陽 (たいよう)
大洋 (たいよう)
対立 (たいりつ)
対流 (たいりゅう)
対話 (たいわ)
他界 (たかい)
高波 (たかなみ)
多感 (たかん)
他局 (たきょく)
他家 (たけ)
他県 (たけん)
他校 (たこう)
多幸 (たこう)
他国 (たこく)
他言 (たごん)
他紙 (たし)
他社 (たしゃ)
他者 (たしゃ)
他出 (たしゅつ)
他生 (たしょう)
他事 (たじ)
多事 (たじ)
他日 (たじつ)
多重 (たじゅう)
館内 (たてうち)
他人 (たにん)
多発 (たはつ)
旅先 (たびさき)
旅路 (たびじ)
旅立 (たびだ)
旅人 (たびびと)
他聞 (たぶん)
他方 (たほう)
他面 (ためん)
多面 (ためん)
多様 (たよう)
他力 (たりき)
炭化 (たんか)
短歌 (たんか)
短期 (たんき)
短気 (たんき)
短所 (たんしょ)
短小 (たんしょう)
短足 (たんそく)
短大 (たんだい)
短調 (たんちょう)
炭田 (たんでん)
短刀 (たんとう)
短波 (たんぱ)
短文 (たんぶん)
反物 (たんもの)
第一 (だいいち)
大寒 (だいかん)
代休 (だいきゅう)
代金 (だいきん)
代行 (だいこう)
大根 (だいこん)
代書 (だいしょ)
大事 (だいじ)
題字 (だいじ)
代数 (だいすう)
大豆 (だいず)
台帳 (だいちょう)
台所 (だいどころ)
第二 (だいに)
代入 (だいにゅう)
代筆 (だいひつ)
代表 (だいひょう)
大福 (だいふく)
題名 (だいめい)
題目 (だいもく)
代役 (だいやく)
代用 (だいよう)
代理 (だいり)
打開 (だかい)
打算 (ださん)
打者 (だしゃ)
打電 (だでん)
男根 (だんこん)
談合 (だんごう)
談話 (だんわ)
地階 (ちかい)
力業 (ちからわざ)
地球 (ちきゅう)
地区 (ちく)
知事 (ちじ)
地代 (ちだい)
血走 (ちばし)
地表 (ちひょう)
地平 (ちへい)
知命 (ちめい)
着手 (ちゃくしゅ)
着色 (ちゃくしょく)
着実 (ちゃくじつ)
着水 (ちゃくすい)
着生 (ちゃくせい)
着想 (ちゃくそう)
着地 (ちゃくち)
着服 (ちゃくふく)
着目 (ちゃくもく)
着用 (ちゃくよう)
着火 (ちゃっか)
着工 (ちゃっこう)
茶屋 (ちゃや)
注意 (ちゅうい)
中央 (ちゅうおう)
中期 (ちゅうき)
注記 (ちゅうき)
中級 (ちゅうきゅう)
中研 (ちゅうけん)
注水 (ちゅうすい)
中世 (ちゅうせい)
中速 (ちゅうそく)
中等 (ちゅうとう)
注入 (ちゅうにゅう)
中部 (ちゅうぶ)
注目 (ちゅうもく)
注文 (ちゅうもん)
中流 (ちゅうりゅう)
注力 (ちゅうりょく)
中和 (ちゅうわ)
長期 (ちょうき)
調教 (ちょうきょう)
調号 (ちょうごう)
調合 (ちょうごう)
調子 (ちょうし)
調書 (ちょうしょ)
長所 (ちょうしょ)
長身 (ちょうしん)
長者 (ちょうじゃ)
調整 (ちょうせい)
長短 (ちょうたん)
長調 (ちょうちょう)
丁度 (ちょうど)
丁度 (ちょうど)
調度 (ちょうど)
長波 (ちょうは)
帳場 (ちょうば)
長物 (ちょうぶつ)
調味 (ちょうみ)
丁目 (ちょうめ)
帳面 (ちょうめん)
調理 (ちょうり)
朝礼 (ちょうれい)
調和 (ちょうわ)
直進 (ちょくしん)
直送 (ちょくそう)
直面 (ちょくめん)
直流 (ちょくりゅう)
直列 (ちょくれつ)
直感 (ちょっかん)
千代 (ちよ)
追記 (ついき)
追究 (ついきゅう)
追放 (ついほう)
通院 (つういん)
通商 (つうしょう)
通帳 (つうちょう)
通路 (つうろ)
都合 (つごう)
都度 (つど)
定員 (ていいん)
庭園 (ていえん)
定期 (ていき)
定休 (ていきゅう)
庭球 (ていきゅう)
定見 (ていけん)
定食 (ていしょく)
定時 (ていじ)
定住 (ていじゅう)
定数 (ていすう)
定着 (ていちゃく)
丁重 (ていちょう)
定点 (ていてん)
定年 (ていねん)
定番 (ていばん)
定理 (ていり)
手軽 (てがる)
手品 (てじな)
手帳 (てちょう)
鉄橋 (てっきょう)
鉄工 (てっこう)
鉄線 (てっせん)
鉄板 (てっぱん)
鉄人 (てつじん)
鉄道 (てつどう)
手配 (てはい)
手放 (てばな)
手短 (てみじか)
店員 (てんいん)
転化 (てんか)
転回 (てんかい)
転記 (てんき)
転業 (てんぎょう)
転向 (てんこう)
転校 (てんこう)
天使 (てんし)
転写 (てんしゃ)
店主 (てんしゅ)
転出 (てんしゅつ)
転生 (てんしょう)
転身 (てんしん)
転進 (てんしん)
天神 (てんじん)
転石 (てんせき)
転送 (てんそう)
転地 (てんち)
転調 (てんちょう)
転入 (てんにゅう)
転売 (てんばい)
転用 (てんよう)
転落 (てんらく)
点列 (てんれつ)
出所 (でどころ)
出向 (でむ)
電化 (でんか)
電荷 (でんか)
電球 (でんきゅう)
電送 (でんそう)
電柱 (でんちゅう)
電鉄 (でんてつ)
電動 (でんどう)
電波 (でんぱ)
電流 (でんりゅう)
登院 (とういん)
投下 (とうか)
登記 (とうき)
冬期 (とうき)
当期 (とうき)
投球 (とうきゅう)
等級 (とうきゅう)
当局 (とうきょく)
登校 (とうこう)
等号 (とうごう)
父様 (とうさま)
等式 (とうしき)
投手 (とうしゅ)
当主 (とうしゅ)
投書 (とうしょ)
投身 (とうしん)
答申 (とうしん)
登場 (とうじょう)
当世 (とうせい)
投石 (とうせき)
当代 (とうだい)
頭取 (とうどり)
投入 (とうにゅう)
東部 (とうぶ)
当部 (とうぶ)
頭部 (とうぶ)
等分 (とうぶん)
等方 (とうほう)
当面 (とうめん)
投薬 (とうやく)
登用 (とうよう)
当落 (とうらく)
十重 (とえ)
都下 (とか)
都会 (とかい)
都銀 (とぎん)
外様 (とざま)
登山 (とざん)
都市 (とし)
年波 (としなみ)
都心 (としん)
都内 (とない)
取消 (とりけし)
取調 (とりしらべ)
取立 (とりたて)
都立 (とりつ)
取引 (とりひき)
度合 (どあい)
同意 (どうい)
動員 (どういん)
同化 (どうか)
同感 (どうかん)
動画 (どうが)
童画 (どうが)
童顔 (どうがん)
同期 (どうき)
同級 (どうきゅう)
同業 (どうぎょう)
道具 (どうぐ)
道化 (どうけ)
同県 (どうけん)
動向 (どうこう)
同根 (どうこん)
動作 (どうさ)
童心 (どうしん)
童子 (どうじ)
童女 (どうじょ)
同乗 (どうじょう)
同相 (どうそう)
同調 (どうちょう)
同定 (どうてい)
動転 (どうてん)
同等 (どうとう)
動物 (どうぶつ)
同様 (どうよう)
動力 (どうりょく)
同列 (どうれつ)
道路 (どうろ)
同和 (どうわ)
童話 (どうわ)
読者 (どくしゃ)
度数 (どすう)
内局 (ないきょく)
内向 (ないこう)
内申 (ないしん)
内実 (ないじつ)
内定 (ないてい)
内発 (ないはつ)
内部 (ないぶ)
内面 (ないめん)
中庭 (なかにわ)
中身 (なかみ)
中指 (なかゆび)
長屋 (ながや)
夏服 (なつふく)
夏物 (なつもの)
名取 (なとり)
何事 (なにごと)
何者 (なにもの)
名乗 (なの)
生身 (なまみ)
波風 (なみかぜ)
波線 (なみせん)
波立 (なみだ)
波間 (なみま)
生業 (なりわい)
何度 (なんど)
何秒 (なんびょう)
南部 (なんぶ)
何等 (なんら)
二階 (にかい)
苦手 (にがて)
肉球 (にくきゅう)
荷車 (にぐるま)
西陽 (にしび)
二次 (にじ)
二重 (にじゅう)
二乗 (にじょう)
二世 (にせい)
日次 (にちじ)
二度 (にど)
荷主 (にぬし)
荷物 (にもつ)
入院 (にゅういん)
入荷 (にゅうか)
入庫 (にゅうこ)
入港 (にゅうこう)
入所 (にゅうしょ)
入部 (にゅうぶ)
二流 (にりゅう)
庭木 (にわき)
庭先 (にわさき)
人相 (にんそう)
根強 (ねづよ)
根深 (ねぶか)
根深 (ねぶか)
根本 (ねもと)
年期 (ねんき)
年号 (ねんごう)
年始 (ねんし)
年商 (ねんしょう)
年次 (ねんじ)
年代 (ねんだい)
年度 (ねんど)
年配 (ねんぱい)
年表 (ねんぴょう)
農園 (のうえん)
農家 (のうか)
農学 (のうがく)
農業 (のうぎょう)
農具 (のうぐ)
農場 (のうじょう)
農村 (のうそん)
農地 (のうち)
農薬 (のうやく)
農林 (のうりん)
野宿 (のじゅく)
飲物 (のみもの)
乗場 (のりば)
乗物 (のりもの)
配員 (はいいん)
配下 (はいか)
交配 (はいごう)
配合 (はいごう)
配車 (はいしゃ)
配色 (はいしょく)
配水 (はいすい)
配線 (はいせん)
配送 (はいそう)
配電 (はいでん)
配当 (はいとう)
配分 (はいぶん)
配役 (はいやく)
配列 (はいれつ)
葉書 (はがき)
歯車 (はぐるま)
波形 (はけい)
箱船 (はこぶね)
波線 (はせん)
波長 (はちょう)
発火 (はっか)
白球 (はっきゅう)
発見 (はっけん)
発行 (はっこう)
発止 (はっし)
発車 (はっしゃ)
八章 (はっしょう)
発進 (はっしん)
発生 (はっせい)
発声 (はっせい)
発想 (はっそう)
発送 (はっそう)
発着 (はっちゃく)
発注 (はっちゅう)
発表 (はっぴょう)
発育 (はついく)
発音 (はつおん)
発言 (はつげん)
発電 (はつでん)
発動 (はつどう)
発売 (はつばい)
発病 (はつびょう)
発明 (はつめい)
葉月 (はづき)
波動 (はどう)
花板 (はないた)
鼻毛 (はなげ)
鼻先 (はなさき)
鼻血 (はなぢ)
鼻水 (はなみず)
花屋 (はなや)
羽根 (はね)
波面 (はめん)
流行 (はや)
反感 (はんかん)
半期 (はんき)
半球 (はんきゅう)
反語 (はんご)
半身 (はんしん)
反対 (はんたい)
反転 (はんてん)
半島 (はんとう)
反動 (はんどう)
反日 (はんにち)
反発 (はんぱつ)
半身 (はんみ)
半面 (はんめん)
反面 (はんめん)
反目 (はんもく)
反問 (はんもん)
反落 (はんらく)
坂路 (はんろ)
倍数 (ばいすう)
化学 (ばけがく)
場所 (ばしょ)
馬主 (ばぬし)
場面 (ばめん)
万感 (ばんかん)
板金 (ばんきん)
番号 (ばんごう)
板書 (ばんしょ)
万事 (ばんじ)
万全 (ばんぜん)
万物 (ばんぶつ)
万有 (ばんゆう)
皮下 (ひか)
引受 (ひきうけ)
皮相 (ひそう)
筆記 (ひっき)
筆写 (ひっしゃ)
筆者 (ひっしゃ)
筆頭 (ひっとう)
筆談 (ひつだん)
他人 (ひと)
一重 (ひとえ)
人事 (ひとごと)
一度 (ひとたび)
日向 (ひなた)
皮肉 (ひにく)
皮肉 (ひにく)
火柱 (ひばしら)
悲鳴 (ひめい)
表意 (ひょうい)
表音 (ひょうおん)
表記 (ひょうき)
表決 (ひょうけつ)
氷原 (ひょうげん)
氷山 (ひょうざん)
表紙 (ひょうし)
表出 (ひょうしゅつ)
表題 (ひょうだい)
氷点 (ひょうてん)
表土 (ひょうど)
表皮 (ひょうひ)
表明 (ひょうめい)
表面 (ひょうめん)
日和 (ひより)
品行 (ひんこう)
品名 (ひんめい)
品目 (ひんもく)
美化 (びか)
美学 (びがく)
美酒 (びしゅ)
美食 (びしょく)
美女 (びじょ)
美人 (びじん)
美談 (びだん)
美点 (びてん)
美男 (びなん)
美名 (びめい)
病院 (びょういん)
病気 (びょうき)
病原 (びょうげん)
病死 (びょうし)
病室 (びょうしつ)
病身 (びょうしん)
病弱 (びょうじゃく)
秒速 (びょうそく)
平等 (びょうどう)
病人 (びょうにん)
病名 (びょうめい)
病理 (びょうり)
日和 (びより)
風化 (ふうか)
風向 (ふうこう)
風習 (ふうしゅう)
風速 (ふうそく)
風物 (ふうぶつ)
風味 (ふうみ)
風流 (ふうりゅう)
負荷 (ふか)
福音 (ふくいん)
服役 (ふくえき)
服地 (ふくじ)
福引 (ふくびき)
服薬 (ふくやく)
服用 (ふくよう)
負数 (ふすう)
二重 (ふたえ)
船旅 (ふなたび)
船荷 (ふなに)
冬服 (ふゆふく)
冬物 (ふゆもの)
古着 (ふるぎ)
古屋 (ふるや)
部員 (ぶいん)
部下 (ぶか)
部会 (ぶかい)
部外 (ぶがい)
部局 (ぶきょく)
部室 (ぶしつ)
部首 (ぶしゅ)
部所 (ぶしょ)
部数 (ぶすう)
部族 (ぶぞく)
部長 (ぶちょう)
物色 (ぶっしょく)
物心 (ぶっしん)
物体 (ぶったい)
物品 (ぶっぴん)
物理 (ぶつり)
部内 (ぶない)
部品 (ぶひん)
部分 (ぶぶん)
部門 (ぶもん)
部落 (ぶらく)
文意 (ぶんい)
分化 (ぶんか)
分化 (ぶんか)
文化 (ぶんか)
分館 (ぶんかん)
分業 (ぶんぎょう)
文具 (ぶんぐ)
文庫 (ぶんこ)
文集 (ぶんしゅう)
文章 (ぶんしょう)
分身 (ぶんしん)
分配 (ぶんぱい)
分筆 (ぶんぴつ)
文筆 (ぶんぴつ)
文物 (ぶんぶつ)
文面 (ぶんめん)
平安 (へいあん)
平気 (へいき)
平家 (へいけ)
平原 (へいげん)
平行 (へいこう)
平行 (へいこう)
平身 (へいしん)
平時 (へいじ)
平日 (へいじつ)
平地 (へいち)
平定 (へいてい)
平年 (へいねん)
平板 (へいばん)
平服 (へいふく)
平方 (へいほう)
平明 (へいめい)
平面 (へいめん)
平野 (へいや)
平和 (へいわ)
部屋 (へや)
返金 (へんきん)
返書 (へんしょ)
返事 (へんじ)
返上 (へんじょう)
返送 (へんそう)
返答 (へんとう)
